name,metal,app_before,owner_says_right,owner_category,owner_notes
BY PATLI MACHINE 2,Gold,Bangle,Yes,Bangle,Patli is basicially 2 banlges togeather from a patli. If its 4 its called a bangle
BY2 BANGLE FANCY 2,Gold,Bangle,Yes,,
BY2 FANCY KANGAN 2,Gold,Bangle,Yes,,
CASTING CHAIN PADAK,Gold,Chain,Yes,Pendant,It is a pendant that goes with a chain
CHAIN HANDMADE,Gold,Chain,Yes,,
CHAIN HOLO,Gold,Chain,Yes,,
Chain Machine,Gold,Chain,Yes,,
Chain Padak,Gold,Chain,Yes,Pendant,It is a pendant that goes with a chain
CHAIN PADAK CASTING,Gold,Chain,Yes,,
CHAIN PADAK CASTING 3.50,Gold,Chain,Yes,,
Chain Pure,Gold,Chain,Yes,,
CHAIN RASSHI,Gold,Chain,No,Chain,"a type of machine chain designed with a twisted, spiral pattern that resembles a sturdy rope"
CHANDAN HAR SET,Gold,Haar,Yes,,
Chandrakanta,Gold,Not recognised,No,Earrings,"traditional, crescent-shaped or intricate dangling statement pieces that combine classic Indian motifs with radiant gold finishes. Fine pairs showcase intricate filigree or dye work."
Chaplahar,Gold,Haar,Yes,Haar,"Made in 24kt, chapla is basicially flat gold pieceworks"
COIMBTUR,Gold,Not recognised,No,Chain,Type of Chain
DESIGNER POTE,Gold,Mangalsutra,Yes,Mangalsutra,It is a type of Pati Pote. Designer name is for the fact that this will be more fancier
DOKIYA,Gold,Not recognised,No,Chain,It is a machine chain with gold beads and pendant attached. It is for females.
DORLA L,Gold,Not recognised,No,New type (describe in notes),"Features ornate, circular, or heart-shaped gold lockets, simillar to a Vati but different interms of how they are made. It made made by soldiring small intricate embosed pieceworks togeather."
Earings,Gold,Earrings,Yes,,
Ekdani,Gold,Necklace,Yes,Mala,"a traditional Maharashtrian single-line necklace Mala. (""ek"" means one, ""dani"" or line/beads) of delicate gold work"
Fancy Chain,Gold,Chain,Yes,,
FANCY CHAIN PADAK,Gold,Chain,No,Pendant,It is a fancy pendant that goes with a chain
FANCY CHAIN PADAK <3.50,Gold,Chain,No,Pendant,It is a fancy pendant that goes with a chain
FANCY EARINGS,Gold,Earrings,Yes,,
FANCY FLEXIBLE KADA,Gold,Kada,Yes,Kada,It is just flexible in nature
FANCY HAR SET,Gold,Haar,Yes,,
FANCY KANGAN 1,Gold,Bangle,Yes,,
FANCY KANGAN 2,Gold,Bangle,Yes,,
FANCY KANSAKLI,Gold,Ear Chain,Yes,,It is a Ear Chain
FANCY KAYAMAT CHAIN,Gold,Chain,No,New type (describe in notes),"It is an asseceory to Tops. It is typically long, elaborate drop or jhumka earrings featuring attached hanging chains with different gold beads or piecework."
FANCY MACHINE CHAIN,Gold,Chain,Yes,,
FANCY PADAK,Gold,Pendant,Yes,Pendant,Fancy design goes with mangalsutra
FANCY PENDANT SET,Gold,Pendant,No,Pendant,It is a chain pendant with matching earrings/tops
FANCY RANI HAR,Gold,Haar,Yes,,
FANCY RINGA,Gold,Not recognised,No,Earrings,"is a circular, hoop-style piece of jewelry worn through the earlobe"
FANCY TODA  2,Gold,Not recognised,No,Kada,"thick, structural bangles and kadas"
FANCY TOPS LATKAN,Gold,Stud,No,New type (describe in notes),"stylish earrings that combine a snug ear-lobe stud (""top"") with a small, dangling charm or chain (""latkan"")."
FLEXIBLE KADA,Gold,Kada,Yes,,
Fmg Bachha Bangles,One Gram,Bangle,Yes,,
Fmg Bajuband,One Gram,Not recognised,No,New type (describe in notes),a traditional piece of Indian jewelry worn snugly around the upper arm (biceps)
Fmg Bombay Harset,One Gram,Haar,Yes,,
Fmg Bunch Pote,One Gram,Mangalsutra,Yes,,
Fmg Chain Pote,One Gram,Mangalsutra,Yes,,
Fmg Chapalahar,One Gram,Haar,Yes,,
Fmg Choker Harset,One Gram,Haar,Yes,,
Fmg Cnc Bangles,One Gram,Bangle,Yes,,
Fmg Designer Pote,One Gram,Mangalsutra,Yes,,
Fmg Diamond Kada,One Gram,Kada,Yes,,
Fmg Earrings,One Gram,Earrings,Yes,,
Fmg Fancy Bangles,One Gram,Bangle,Yes,,
Fmg Fancy Chain,One Gram,Chain,Yes,,
Fmg Fancy Harset,One Gram,Haar,Yes,,
Fmg Fancy Tops,One Gram,Stud,Yes,,
FMG GENTS BRACELATE,One Gram,Bracelet,Yes,,
Fmg Halfround Bangles,One Gram,Bangle,Yes,,
Fmg Kanas Bangles,One Gram,Bangle,Yes,,
GEHU TODA 2,Gold,Not recognised,No,Kada,a traditional Maharashtrian heavy gold bangle or kada with a textured surface that looks like wheat grains
GENTS ANGUTHI,Gold,Ring,Yes,Ring,
Gents Bali,Gold,Bali,Yes,,Bali goes on the ear
GENTS CASTING ANGUTHI,Gold,Ring,Yes,Ring,
GENTS FANCY ANGUTHI,Gold,Ring,Yes,Ring,
GENTS FANCY BRACELET,Gold,Bracelet,Yes,,
GENTS HOLLOW BRACELET,Gold,Bracelet,Yes,,
Gofe Pure,Gold,Not recognised,No,Chain,It is a gold chain made in pure gold by hand. It is made by taking thin gold wires and spiraling them until a chain is created
GOTE PURE 1,Gold,Not recognised,No,Bangle,It is a plain gold bangle.
GOTE PURE 2,Gold,Not recognised,No,Bangle,It is a plain gold bangle.
HAR DULL,Gold,Haar,Yes,,
HAR FANCY,Gold,Haar,Yes,,
Har Set,Gold,Haar,Yes,,
HC,Gold,Not recognised,No,Not jewellery,"HC stands for Haar Chain, the chain that goes at the back of haars and rani haars. It is similar to Pote Chain"
HOLO,Gold,Not recognised,No,Chain,This can be the holo gold chains. Any ornament that is hollow
INDO-ITALIAN,Gold,Chain,Yes,Chain,It is a type of chain
Janwa,Gold,Not recognised,No,New type (describe in notes),a miniature sacred thread (Janeu) crafted out of gold
JONDHALI MAL,Gold,Not recognised,No,Mala,a traditional Maharashtrian multi-strand necklace made from tiny gold beads that resemble jondhali (sorghum or Jowar) grains
KAJU KATLI,Gold,Not recognised,No,Chain,It is a type of hollwo chain
KANCHAIN PURE 2,Gold,Not recognised,No,Earrings,
Kansakali,Gold,Ear Chain,Yes,,It is a Ear Chain
KANSAKALI PURE,Gold,Ear Chain,Yes,,It is a Ear Chain
Karda,Gold,Not recognised,No,Ring,"is a traditional Indian finger ring inspired by the aesthetic of the classic, rigid kada wrist bracelet. It beautifully shrinks the bold, structured look of ethnic Indian armware into a refined piece for the finger."
KARDA FANCY,Gold,Not recognised,No,Ring,"is a traditional Indian finger ring inspired by the aesthetic of the classic, rigid kada wrist bracelet. It beautifully shrinks the bold, structured look of ethnic Indian armware into a refined piece for the finger."
Kayamat Chain,Gold,Chain,No,New type (describe in notes),"It is an asseceory to Tops. It is typically long, elaborate drop or jhumka earrings featuring attached hanging chains with different gold beads or piecework."
LADIES ANGUTHI,Gold,Ring,Yes,Ring,
LADIES BRACELET,Gold,Bracelet,Yes,,
LADIES CASTING ANGUTHI,Gold,Ring,Yes,Ring,
LADIES FANCY ANGUTHI,Gold,Ring,Yes,Ring,
LADIES FANCY BRACELET,Gold,Bracelet,Yes,,
Laxmi Har,Gold,Haar,Yes,,
LONG BRACLET POTE,Gold,Bracelet,No,Mangalsutra,It is a mangalsutra where Bracelet piecewords are used in the pote to give it a broader and different style
LONG CHAIN POTE,Gold,Mangalsutra,Yes,Mangalsutra,It is a mangalsutra which is made out of machine chains and is long
LONG NANO POTE,Gold,Mangalsutra,Yes,Mangalsutra,It is a Mangalsutra; the word nano meands small black beads are used in it and that portion may have an intricate design.
LONG PATTI POTE,Gold,Mangalsutra,Yes,,
LONG PBB,Gold,Mangalsutra,Yes,,
LONG VERTICAL MAL,Gold,Not recognised,No,Mala,It is a mala made out of beads. The beads have intricate work on them can can range in different sizes. The Mala can also have multiple layers
LOTUS,Gold,Not recognised,No,Coin,It is a type of chain
MACHINE CHAIN,Gold,Chain,Yes,,
Motikudi,Gold,Not recognised,No,Earrings,"a traditional Maharashtrian style of large, ornate ear stud or earring crafted with gold and embellished with lustrous pearls"
Nath,Gold,Nose Pin,Yes,,
NAWABI HOLO,Gold,Chain,Yes,Chain,
OM PADAK PURE-1,Gold,Pendant,Yes,,
Padak,Gold,Pendant,Yes,,
PATLI FANCY 1,Gold,Bangle,Yes,,
PATLI FANCY 2,Gold,Bangle,Yes,,
PATLI KANAS 1,Gold,Bangle,Yes,,
PATLI KANAS 2,Gold,Bangle,Yes,,
PATLI MACHINE 1,Gold,Bangle,Yes,,
PATLI MACHINE 2,Gold,Bangle,Yes,,
PATLI PURE 1,Gold,Bangle,Yes,,
PATLI PURE 2,Gold,Bangle,Yes,,
PENDANT SET 3,Gold,Pendant,No,Pendant,It is a chain pendant with matching earrings/tops
PENDENT SET,Gold,Pendant,No,Pendant,It is a chain pendant with matching earrings/tops
Plain Firki,Gold,Not recognised,No,New type (describe in notes),Firki is a screw-back/nut locking mechanism (often called a firki screw or backing) used to secure stud earrings safely
Plain Taar,Gold,Not recognised,No,Nose Pin,
Pote Chain,Gold,Mangalsutra,No,Mangalsutra,Mangalsutra made from machine chain
POTE HALF,Gold,Mangalsutra,No,Mangalsutra,Short Mangalsutra
Pote Taramandal,Gold,Mangalsutra,No,Mangalsutra,combines a celestial-inspired Taramandal design with pote (traditional small glass beads)
Rakhi,Gold,Not recognised,No,New type (describe in notes),"s a luxurious, premium version of the traditional ceremonial thread tied by sisters on their brothers' wrists during the Hindu festival of Raksha Bandhan"
Rani Har,Gold,Haar,Yes,,
RASSI,Gold,Not recognised,No,Chain,"a type of machine chain designed with a twisted, spiral pattern that resembles a sturdy rope"
RASSI <5,Gold,Not recognised,No,Chain,"a type of machine chain designed with a twisted, spiral pattern that resembles a sturdy rope"
Ringa,Gold,Not recognised,No,Earrings,"is a circular, hoop-style piece of jewelry worn through the earlobe"
Ringa U Shape,Gold,Not recognised,No,New type (describe in notes),"Gold U-shape earrings are a modern, geometric twist on classic hoops, defined by their clean, angular, or softly rounded horseshoe silhouette. They can be in ""U"" or ""V"" shape"""
Rose Gold Chain,Gold,Chain,Yes,,
ROSE GOLD LADIES RING,Gold,Ring,Yes,,
RUDRAKSHYA MAL,Gold,Not recognised,No,Mala,It is a mala that contains rudrakshya beads
SARDAR KADA,Gold,Kada,Yes,,
SET ANTIC 3,Gold,Not recognised,No,Haar,
SET LONG 1,Gold,Not recognised,No,Haar,
SET LONG 3,Gold,Not recognised,No,Haar,
SHORT BRACLET POTE,Gold,Bracelet,No,Mangalsutra,It is a mangalsutra where Bracelet piecewords are used in the pote to give it a broader and different style
SHORT CHAIN POTE,Gold,Mangalsutra,Yes,Mangalsutra,It is a mangalsutra which is made out of machine chains and is long
SHORT NANO POTE,Gold,Mangalsutra,Yes,Mangalsutra,It is a Mangalsutra; the word nano meands small black beads are used in it and that portion may have an intricate design.
SHORT PATTI POTE,Gold,Mangalsutra,Yes,,
SHORT PBB,Gold,Mangalsutra,Yes,,
SHORT VERTICAL MALA,Gold,Mala,No,Mala,It is a mala made out of beads. The beads have intricate work on them can can range in different sizes. The Mala can also have multiple layers
Singapore Tops,Gold,J Hoop,Yes,,
Stone Firki,Gold,Not recognised,No,Nose Pin,It’s a nosepin with stones in it. IT has a firki so you need to screw it in
Stone Taar,Gold,Not recognised,No,Nose Pin,It’s a nosepin with stones in it. No need to screw it in
Suidhaga,Gold,Not recognised,No,New type (describe in notes),s a delicate style of dangling earring inspired by a needle and thread
TARAMANDAL POTE,Gold,Mangalsutra,No,Mangalsutra,combines a celestial-inspired Taramandal design with pote (traditional small glass beads)
TENDULKAR,Gold,Chain,Yes,Chain,It’s a type of chain
Thushi,Gold,Choker,No,Necklace,It’s a necklace/ Chocker
TODA GAHU 2,Gold,Not recognised,No,Kada,a traditional Maharashtrian heavy gold bangle or kada with a textured surface that looks like wheat grains
Tops,Gold,Stud,Yes,,
TOPS FANCY,Gold,Stud,Yes,,
TOPS LATKAN,Gold,Stud,No,Stud,It’s a gold stod which has a hanging design attached with it
TOPS PLAIN,Gold,Stud,Yes,,
Tops Stone,Gold,Stud,Yes,,
TULSHI MALA BLACK,Gold,Mala,Yes,,
TUSHI MALA WHITE,Gold,Mala,Yes,,
VATI SET 2,Gold,Not recognised,No,New type (describe in notes),"A gold vati set is a traditional Maharashtrian jewelry pendant. The set features one (single vati) or two (double vati) small, round, hollow bowl-shaped gold pieces. These often include fine filigree work, spiral patterns, or embossed textures. The Vati is with Mani gold beads which also have fine filigree work, spiral patterns, or embossed textures."
VATI SET 2 L,Gold,Not recognised,No,New type (describe in notes),"A gold vati set is a traditional Maharashtrian jewelry pendant. The set features one (single vati) or two (double vati) small, round, hollow bowl-shaped gold pieces. These often include fine filigree work, spiral patterns, or embossed textures. The Vati is with Mani gold beads which also have fine filigree work, spiral patterns, or embossed textures."
Zumka,Gold,Jhumka,Yes,,
ZUMKA FANCY 1,Gold,Jhumka,Yes,,
ZUMKA FANCY 2,Gold,Jhumka,Yes,,
ZUMKA RING,Gold,Jhumka,Yes,,
Latkan,(word / prefix),A stud top with a hanging drop? Currently treated as a plain stud.,,,Yes correct
Vati / Vati Set / Vaati,(word / prefix),The small gold cups on a mangalsutra? Or a bowl (silver)?,,,"Yes, the small gold cups on a mangalsutra"
Toda,(word / prefix),A thick solid anklet or bangle?,,,Yes
Kandora / Karnda,(word / prefix),?,,,a traditional Indian waist chain or waist belt worn around the hips or waist
Bajuband,(word / prefix),An armlet worn on the upper arm?,,,Yes correct
Tanmaniya / Tanmani,(word / prefix),A short mangalsutra-style necklace with a pendant?,,,"Yes, but tanmanya mangalsutra have a lot of black beands and the tanmaniya have diomand like stones in the pendant."
Mani Mohan / Mohan Mala,(word / prefix),A necklace of gold beads? Currently treated as Necklace.,,,"Yes, a necklace / Mala made from gold Beads"
Ringa,(word / prefix),?,,,"is a circular, hoop-style piece of jewelry worn through the earlobe"
Kadi,(word / prefix),"An earring hook/ring fitting, or a small hoop?",,,It's a small hoop that helps connect the Jhumka with its tops
Puneri,(word / prefix),A Pune-style nath (nose ring)? Currently treated as Nose Pin.,,,Yes
Chap / Chaap,(word / prefix),A style of nath? Currently treated as Nose Pin.,,,is a traditional Indian nose ring designed with a metal wire clamp or clip mechanism so it can be worn without a nose piercing
Gahu Padak,(word / prefix),A wheat-grain (gahu) design pendant? Currently treated as Pendant.,,,Yes
Jaanva / Janave,(word / prefix),The sacred thread in gold?,,,It’s the sacred thread in silver
Bugadi,(word / prefix),An ear-top worn at the top of the ear. Currently treated as Earrings.,,,Yes
Ekdani,(word / prefix),A necklace of repeated small elements. Currently treated as Necklace.,,,Yes
Thushi,(word / prefix),A tight choker of gold beads. Currently treated as Choker.,,,Yes
FMG (prefix),(word / prefix),"What does FMG mean? Is it gold, one gram or something else?",,,"FMG stands for forming, we are using it for all the artificial / one gram jewellery"
U (prefix),(word / prefix),What does the U mean?,,,Where did you get this from as it's not there in the POS. U it the type of shape the ornament follows
BY (prefix),(word / prefix),What does BY mean? What do the numbers 1/2/4 mean (pieces in a set)?,,,"BY stands for desings called from bombay, nothing else."
IT (prefix),(word / prefix),Italian?,,,Again unsure about where this came from. Ignore it
92.50 / Silver / One gram,(word / prefix),"Will you shoot silver or one-gram pieces with this app? It currently assumes gold, so it would render silver as gold.",,,"The ""92.50"" resembeles sterling silver. While ""One Gram"" means artificial jewellery."
